T0.4-EVAL | Terra | high | 1 | evaluator foundation and adversarial harness require independent high-effort evaluator context | APPROVED BY USER 2026-07-14; PASS 8/8 plus 13/13 self-tests
T6.4-IMPL | Terra | high | 1 | lineage-qualified append-only commands/events, fixed snapshots, save/load branching, arbitrary rewind, isolated replay cursors, and corruption validation implemented and live-verified | PASS 28/28 IDs, 848/848 assertions, 20/20 mutations; refreshed manifest 49df1e47ef6612dbaf50671f7d362c5f6546d40818c588e9b69d053d1d007081; T6.1 430/430, T6.2 372/372, T6.3 906/906 regressions PASS
T6.4-EVAL-REFRESH | Terra | high | 2 | evaluator-only inherited dependency audit and metadata refresh under standing user authorization | RE-PROMOTED 2026-07-15: final T4.3 38927540..., refreshed T5.1 9f917fa0..., and final corrected T6.3 29a75745... pointers updated; persistence behavior, fixtures, expectations, 28 IDs/848 assertions, 20 mutations, reference, Oracle runner, source policy, and interface unchanged; self-check 69/69; mutations 20/20; isolated source-policy self-check PASS without reading now-present production; integrity 28/28; foundation 8/8; adversarial 13/13; manifest 26cb31d9123d025b45695a93c8f1531ce65b324c51ce7f5e1aeeba00ff9b345c
T6.4-EVAL-ORACLE-CORRECTION | Terra | high | 3 | evaluator-only SQL-context correction for SQL-only STANDARD_HASH under standing user authorization | RESOLVED 2026-07-15: live old-form probe reproduced PLS-00201 before production; moved the byte-identical lower(substr(standard_hash('T64-LIVE-HISTORY','MD5'),1,32)) expression from PL/SQL declaration to SELECT FROM dual INTO existing token; corrected live probe returned e74c21e18d8e95a56a19d5ac3774f41f; self-check remains 69/69 and pins legality; mutations 20/20; isolated source-policy PASS without production inspection; integrity 28/28; foundation 8/8; adversarial 13/13; behavior/fixtures/expectations/28 IDs/848 assertions/mutations/interface unchanged; runner 4722426ba97dd73a5d75b053e1736a069b8864ca123ac431788866cb9e034904; self-check 7a5eaedd2026ad52504bf54b783f480414007ca43cff9656a449e65f6f91dbdd; manifest 49df1e47ef6612dbaf50671f7d362c5f6546d40818c588e9b69d053d1d007081
T5.1-EVAL-REFRESH | Sol | max | 2 | evaluator-only final T4.2/T4.3 and human-visible-golden dependency refresh under standing user authorization | RE-PROMOTED 2026-07-15: portal/timeline behavior, fixtures, assertions, mutations, reference, and production interface unchanged; self-check 97/97; mutations 18/18; integrity 11/11 candidate plus 11/11 approved baselines; foundation 8/8; adversarial 13/13; production source audit correctly fail-closed before implementation; final manifest 9f917fa0d9557a3a27540ce8184de66feea9860e68ffea592a8b99b3d4db407a; interface DOOM_R2_PORTAL_HITS / DOOM_R2_SECTOR_INTERVALS
T5.1-EVAL-CORRECTION | Sol | max | 3 | evaluator-only production-file scope and SQL token-boundary correction after accepted downstream R2 additions under standing authorization | RESOLVED 2026-07-15: audit now selects only definitions of DOOM_R2_PORTAL_HITS/DOOM_R2_SECTOR_INTERVALS and rejects quoted fixture-name literals without rejecting analytic WINDOW vocabulary; no production inspection/edit or semantic contract change; self 97/97; mutations 18/18; source PASS; integrity 11/11 plus 11/11; foundation 8/8; adversarial 13/13; promoted manifest 7b02f8ce55c7f67493134cae9c2bc928340fe39b5abfc5457a3dda4c0e5844f7
T5.2-EVAL-REFRESH | Sol | high | 3 | inherited T5.1 evaluator-correction pointer refresh under standing authorization | RE-PROMOTED 2026-07-15: only inherited hash, self-check literal, and approval metadata changed; T5.2 behavior/goldens unchanged; self 56/56; mutations 18/18; source PASS; integrity 13/13; promoted manifest b95895c22b3fb8cf5df42a314538ecdc2802abb744815196604070fab900d13c
T5.1-IMPL | Sol | max | 1 | complete ordered portal-hit retention, dynamic sector-height openings and directed pieces, MATCH_RECOGNIZE active-sector walk, stable ties, solid termination, and analytic contiguous intervals require complete R2 renderer reasoning | PASS 20/20 IDs and 674/674 frozen assertions; 18/18 mutations; dynamic sector heights 5/5; fresh 537-file seed/21-entry bootstrap; T4.1 1296/1296 and T6.4 848/848 regressions; source/foundation/adversarial/static/schema/secret gates green; full routed task 22.99s
T7.1-IMPL | Sol | high | 1 | relational inventory and pickup transitions, ordered RNG weapon state, exact R1-bounded hitscan, swept projectiles, occluded splash, stable barrel chains, and complete history closure implemented and live-verified | PASS 23/23 IDs, 1582/1582 assertions, 22/22 mutations; combat history closure PASS; second 537-file/24-entry bootstrap 142.45s; T6.1 430/430 plus concurrency, T6.2 372/372, T6.3 906/906, T6.4 848/848 regressions PASS; 0 invalid objects; isolated stack fully removed
T5.2-EVAL-REFRESH | Sol | high | 2 | evaluator-only accepted T5.1 dependency refresh under standing user authorization | RE-PROMOTED 2026-07-15: only T5.1 manifest pointer, matching self-check literal, and approval/report metadata changed; clip/floor/ceiling/sky/animation/offset/pegging behavior, fixtures, expectations, 20 IDs/1856885 assertions, 18 mutations, reference, Oracle runner, and interface unchanged; self-check 56/56; mutations 18/18; integrity 12/12 and 181 transitive entries; foundation 8/8; adversarial 13/13; production audit green; source fail-closed before implementation; human T5.2 goldens PENDING with zero accepted; manifest 438f35d48821541613a0a114d4ee814889778c1ef36552cb62344ac6a43ba4b7; inherited T5.1 9f917fa0d9557a3a27540ce8184de66feea9860e68ffea592a8b99b3d4db407a; interface DOOM_R2_PIXELS
T5.2-EVAL-VISUAL | Sol | high | 3 | independent actual-output indexed-PNG decode and direct human-visible review under standing user authorization | APPROVED 2026-07-15: original 320x200 database frame directly inspected; coherent E1M1 corridor, continuous plane perspective, aligned doorway/columns/hazard stripes, visible portal pieces, appropriate zero sky, no transpose/tears/bands/holes; independent PNG signature/chunk/CRC/IDAT/filter/palette decode exactly matched 64000 SQL bytes; frame df931aead5a878018c9ad36cff0b73ed56545b290dcff9f59001fbec9a3f11f4; PNG e98ba9a6a894cc091d000f1c00cc0ed0b41d51ac5397818e836e5a73b1d47711; RGBA e5b06d38181fece72cc7ce5ba15a3dabfd239992682d0136817bf88881344432; golden integrity e59b635cdda850ae092d940ac38fb62cbf8e8b2e1ea6812ad67b61a7ebcc4995; self 56/56; mutations 18/18; source green; integrity 13/13 plus 184 transitive entries; foundation 8/8; adversarial 13/13; isolated live rerun 20/20 IDs and 1856885/1856885 assertions; final evaluator manifest 62bca74b9f9916a5dfb2c3f1543322356982c3ac1c3c025e5842242ee34cc5fe; evaluator behavior/assertions/mutations/interface unchanged
T5.2-IMPL | Sol | high | 1 | analytic clip windows, interval-owned planes, portal wall-piece sampling, sky, tic animation, offsets, pegging, COLORMAP, and dense 320x200 candidate composition require high-effort relational renderer design | PASS 20/20 IDs and 1856885/1856885 assertions; 18/18 mutations; 9 live checks; frozen frame df931aea... and independently reviewed PNG e98ba9a6...; fresh 537-file/25-entry bootstrap; T5.1 674/674 plus dynamic heights, T7.1 1582/1582 plus history closure regressions; all production objects VALID; full routed verifier 69.35s; dashboard serves exact human-reviewed R2 pixels
T5.3-EVAL-REFRESH | Sol | high | 2 | independent evaluator-only accepted T5.2 dependency refresh under standing user authorization | RE-PROMOTED 2026-07-15: only final T5.1/T5.2/human-reviewed T5.2 visible pointers, matching self-check guards, and approval/report metadata changed; masked/sprite behavior, fixtures, expectations, 17 IDs/988 assertions, 18 mutations, reference, Oracle runner, source policy, goldens, and two-macro interface unchanged; self-check 346/346; mutations 18/18; integrity 14/14 and 198 transitive entries; foundation 8/8; adversarial 13/13; source fail-closed before implementation; T5.3 visual goldens PENDING with zero accepted; manifest 2a6aad3d9f2cb9f407fee07bf808fae239a388b7d0f610e782167581bdf1e40f; inherited T5.2 62bca74b9f9916a5dfb2c3f1543322356982c3ac1c3c025e5842242ee34cc5fe; inherited visible e59b635cdda850ae092d940ac38fb62cbf8e8b2e1ea6812ad67b61a7ebcc4995; interface DOOM_R2_MASKED_CANDIDATES / DOOM_R2_MASKED_PIXELS
T7.2-IMPL | Sol | max | 1 | immutable prior-tic actor advancement, relational five-type state/attack/drop graphs, bounded sound reachability, exact REJECT/intercept LOS, stable collision, database RNG, and persistence closure require the plan-mandated maximum simulation route | PASS 25/25 IDs and 2565/2565 assertions; 24/24 mutations; history and live wake/death/drop lifecycle closure; two fresh 537-seed/28-entry bootstraps; T6.1-T6.4 and T7.1 regressions PASS; 0 invalid objects; isolated stack removed
T7.2-IMPL-CORRECTION | Sol | max | 2 | T8.1 combined full-map combat exposed guaranteed monster hits and overbroad player RNG spread outside focused type scenarios | RESOLVED: former-human monsters consume two BAM spread draws plus damage and resolve perpendicular miss against player radius; pistol/shotgun/chaingun use Doom 2*pi/16384 BAM scale; 27/27 former-death branches survive at HP97-100; cumulative normal-input replay HP76, 1 kill, 7 player hits, 34 monster misses, advances x=-32 to 93.5405; T7.2 2565/2565 plus 24/24, T7.1 1582/1582, T6.1-T6.4 and concurrency regressions PASS; production hashes dd852b7a... and eceb4e7b...
T5.3-EVAL-CASCADE-REFRESH | Sol | high | 3 | evaluator-only T5.1 source-audit correction cascade under standing user authorization | RE-PROMOTED 2026-07-15: only final T5.1/T5.2 pointers, matching self-check guards, and report/integrity metadata changed; reviewed T5.2 visible chain unchanged; T5.3 behavior, fixtures, expectations, 17 IDs/988 assertions, 18 mutations, reference, Oracle runner, source policy, production, and goldens unchanged; self 346/346; mutations 18/18; source audit 1/1 green; integrity 14/14 and 198 transitive entries; foundation 8/8; adversarial 13/13; visual goldens PENDING with zero accepted; manifest f2bd2dd3f9000837e6c46f4ab7032cc3eaef37430289a39cabfe450df181ecbd; inherited T5.1 7b02f8ce55c7f67493134cae9c2bc928340fe39b5abfc5457a3dda4c0e5844f7; inherited T5.2 b95895c22b3fb8cf5df42a314538ecdc2802abb744815196604070fab900d13c; visible e59b635cdda850ae092d940ac38fb62cbf8e8b2e1ea6812ad67b61a7ebcc4995
T5.3-EVAL-ORACLE-CORRECTION | Sol | high | 4 | evaluator-only final-schema drift correction under standing user authorization | RE-PROMOTED 2026-07-15: positional seven-value SECTOR_STATE insert replaced with explicit session/sector/heights/light/secret/damage column list and DAMAGE_CLOCK=0 so final eight-column schema cannot raise ORA-00947; LIGHT_TIMER remains schema-owned; self-check freezes mapping; no masked/sprite behavior, fixtures, expectations, 17 IDs/988 assertions, 18 mutations, reference, source policy, production, interface, or golden change; self 346/346; mutations 18/18; source green; live syntax PASS; integrity 14/14 and 198 transitive; foundation 8/8; adversarial 13/13; visual goldens PENDING zero accepted; manifest f8a7ba0189f3c55446d850cd4d2fa5604e16b1ae426015e5ada2729f97ac12ed; oracle ce77becfa42e1ee0858bcc8591fb35cf3f461a139d73f077438b3cb2d7b48427; inherited T5.2 b95895c22b3fb8cf5df42a314538ecdc2802abb744815196604070fab900d13c
T5.3-EVAL-VISUAL | Sol | high | 5 | independent actual-output indexed-PNG decode and original-resolution review under standing user authorization | APPROVED 2026-07-15: all three database frames directly inspected; spawn masked grates preserve transparent openings and correctly occlude layered corpses/monsters/pickups with visible rotation variants; north POSSL0 and south PLAYW0 are correctly clipped by foreground platforms; no transpose/tears/bands/holes/palette corruption/wrap; deterministic SQL recapture matched identities, sources and overlay counts 7106/335/105; independent PNG signature/chunk/CRC/IDAT/filter/palette decode exactly matched 64000 SQL pixels each; frames f34741d9.../5ae974c2.../3fe12e73...; PNGs 3b9dec01.../05493918.../49892ad4...; golden integrity 24b543562a13c80db22edd376e93a7a5b3c30d28dc2e01db7d28a165210c0860; self 346/346; mutations 18/18; source green; live Oracle green; integrity 15/15 plus 206 transitive entries; foundation 8/8; adversarial 13/13; final evaluator manifest 8e5969b517dac26fa2143dfd6cbedee9cde1ec1a0e09eca775a4f72070aebc1b; behavior/assertions/mutations/production/interfaces unchanged
T5.3-IMPL | Sol | high | 1 | relational masked-middle sampling, live-MOBJ billboard projection, WAD origin offsets, directional/mirrored assets, bounded clip facts, strict wall depth, deterministic overlay winners, and independently reviewed actual frames require renderer-grade reasoning | PASS 17/17 IDs and 988/988 assertions; 18/18 mutations; three reviewed database PNGs with overlay counts 7106/335/105; T5.2 1856885/1856885 and T5.1 674/674 plus dynamic 5/5 regressions; 29-entry isolated bootstrap; source/static/schema/secret/foundation/adversarial gates green; dashboard serves exact reviewed masked frames
